Timestamp,X_Position_Feet,Y_Position_Feet
0.000000,5.029954,3.431249
0.301689,5.029954,3.431249
0.511528,5.029954,3.431249
0.694741,5.029954,3.431249
0.982093,5.029812,3.431104
1.247335,5.030992,3.432155
1.516332,5.033305,3.433261
1.787672,5.034185,3.434611
2.070273,5.004727,3.552597
2.344557,4.939244,3.822995
2.616551,4.910561,3.936208
2.893924,4.906507,3.951676
3.193675,4.908035,3.953597
3.478663,4.909741,3.957176
3.773818,4.889682,4.004803
4.073905,4.792077,4.249830
4.382349,4.720114,4.429167
4.666852,4.710222,4.453911
4.971514,4.711095,4.456651
5.273542,4.711508,4.460151
5.575953,4.682664,4.508236
5.877173,4.560851,4.722856
6.181655,4.463450,4.895501
6.490721,4.448725,4.920877
6.781802,4.448923,4.922816
7.084761,4.448817,4.927434
7.374937,4.448433,4.924729
7.686677,4.446694,4.921789
7.993439,4.442759,4.928231
8.282437,4.444590,4.931178
8.585236,4.444763,4.934005
8.921248,4.443411,4.930992
9.285498,4.441614,4.928354
9.599453,4.343721,5.099515
9.911022,4.210609,5.330943
10.215865,4.167472,5.419094
10.556037,4.220122,5.351270
10.905231,4.277576,5.240152
11.242720,4.276370,5.241047
11.576970,4.198746,5.432495
11.887635,4.109721,5.656171
12.209316,4.082036,5.727401
12.566356,4.081347,5.729980
12.894887,4.080730,5.735036
13.272093,4.022890,5.839347
13.569120,3.892874,6.092220
13.927960,3.912064,6.167010
14.287228,3.960684,6.075899
14.632976,3.990924,6.010472
15.030914,3.971792,6.087282
15.381590,3.906622,6.391137
15.694292,3.895389,6.583752
16.044811,3.909669,6.602201
16.396834,3.910154,6.603762
16.715781,3.926348,6.619106
17.065419,3.932342,6.609382
17.433875,3.926953,6.652037
17.783770,3.910413,6.958888
18.140948,3.910739,7.176755
18.491431,3.916463,7.200100
18.876151,3.918293,7.201348
19.262243,3.908292,7.262154
19.617794,3.887301,7.451116
19.995298,3.887640,7.451608
20.366088,3.885424,7.450837
20.741568,3.892282,7.553928
21.113116,3.917794,7.903212
21.499073,3.925133,7.998034
21.868479,3.925017,8.001219
22.267742,3.926673,8.004360
22.635833,3.917824,8.170345
23.018905,3.911052,8.492253
23.385447,3.909892,8.542304
23.772353,3.907358,8.543826
24.164057,3.907171,8.550917
24.535003,3.909729,8.554994
24.943240,3.910468,8.556080
25.354699,3.906929,8.554302
25.719505,3.909911,8.564766
26.104011,3.913430,8.567770
26.493267,3.924311,8.726610
26.886296,3.943818,9.022696
27.287743,3.949828,9.096586
27.695064,3.951445,9.097849
28.078672,3.950400,9.114305
28.477604,3.934004,9.261454
28.858350,3.940402,9.177520
29.288890,3.950555,9.045492
29.717762,3.945531,9.122861
30.122870,3.943468,9.270068
30.518662,3.942992,9.166608
30.979767,3.942434,9.115944
31.421731,3.944040,9.125624
31.838814,3.940713,9.153052
32.290026,3.925612,9.257280
32.763305,3.927627,9.260392
33.165703,3.942797,9.208465
33.642797,3.974536,9.081357
34.060999,3.976521,9.081124
34.488429,3.977126,9.083747
34.889999,3.974700,9.080519
35.344878,3.916997,9.259802
35.784691,3.930447,9.217167
36.224965,3.958106,9.116468
36.654668,3.954797,9.114776
37.104776,3.953040,9.123756
37.520029,3.954446,9.128199
37.982566,3.926218,9.252119
38.417524,3.928936,9.237394
38.845363,3.945563,9.151642
39.320332,3.929998,9.228956
39.745281,3.938648,9.181230
40.206294,3.939466,9.185375
40.663970,3.932782,9.203222
41.113403,3.926353,9.222659
41.597355,3.928295,9.219673
42.021476,3.924310,9.233385
42.480297,3.927151,9.220758
42.946400,3.929255,9.224833
43.420957,3.927326,9.222143
43.915764,3.928478,9.212846
44.376207,3.922028,9.219376
44.871361,3.917530,9.228734
45.355481,3.915282,9.215899
45.841136,3.920263,9.218583
46.346895,3.920510,9.224425
46.846053,3.917206,9.245619
47.330124,3.916925,9.231111
47.807188,3.914227,9.229954
48.303977,3.917690,9.257603
48.746512,3.917625,9.255992
49.197873,3.916928,9.243594
49.657396,3.916493,9.244486
50.184733,3.912259,9.245474
50.721967,3.918879,9.251071
51.184006,3.917154,9.245262
51.692022,3.916493,9.245868
52.209110,3.902339,9.244302
