Timestamp,X_Position_Feet,Y_Position_Feet
0.000000,6.272723,-9.365759
0.343611,6.272723,-9.365759
0.663347,6.275053,-9.369544
0.949992,6.282717,-9.372375
1.227655,6.284529,-9.372849
1.499404,6.291972,-9.374458
1.812156,6.301609,-9.371574
2.108045,6.309956,-9.368676
2.456050,6.317463,-9.366317
2.763851,6.322149,-9.362944
3.094608,6.325017,-9.363057
3.403483,6.327941,-9.362339
3.707353,6.329318,-9.361632
3.997265,6.331288,-9.360316
4.344830,6.332117,-9.359589
4.664937,6.329211,-9.359083
4.967212,6.327041,-9.360247
5.307057,6.324605,-9.363832
5.615803,6.325931,-9.373574
5.941632,6.405691,-9.581259
6.230232,6.513211,-9.864783
6.532015,6.615086,-10.136412
6.855917,6.633063,-10.177224
7.166057,6.632980,-10.177144
7.488826,6.632491,-10.177180
