Timestamp,X_Position_Feet,Y_Position_Feet
0.000000,0.992420,-0.545924
0.242274,0.992420,-0.545924
0.524387,0.992701,-0.542607
0.820604,0.981595,-0.346745
1.072908,0.964752,-0.128317
1.329288,0.954368,-0.006086
1.619827,0.953578,0.004713
1.872163,0.952654,0.003336
2.117423,0.952001,0.001685
2.391177,0.951280,0.000615
2.641905,0.950329,0.000490
2.932812,0.949551,0.000411
3.232376,0.948347,0.000353
3.541619,0.946940,-0.000254
3.837488,0.945297,-0.000222
4.131405,0.943991,-0.000130
4.403822,1.055436,0.102635
4.676765,1.222844,0.262098
4.971470,1.338757,0.374519
5.230036,1.347730,0.383453
5.566345,1.347002,0.385115
5.837542,1.345222,0.386302
6.118312,1.406835,0.423148
6.429584,1.640318,0.568649
6.716948,1.796116,0.668342
7.029972,1.816689,0.681609
7.346505,1.819355,0.681165
7.670014,1.821858,0.681211
7.973611,1.824550,0.681201
8.276194,1.826944,0.681157
8.572249,1.829454,0.682212
8.872366,1.827534,0.680535
9.183570,1.824614,0.679539
9.526319,1.826074,0.680018
9.826021,1.827967,0.680887
10.135115,1.829602,0.680800
10.486053,1.831655,0.681082
10.833627,1.833973,0.681092
11.140910,1.835802,0.682021
11.482966,1.837284,0.682603
11.827123,1.822601,0.750516
12.175647,1.745888,1.067241
12.514426,1.704461,1.237458
12.839003,1.703467,1.239496
13.175423,1.704346,1.240417
13.490654,1.704945,1.242211
13.855745,1.703262,1.240846
14.209981,1.692416,1.279960
14.543668,1.627833,1.539211
14.898661,1.569663,1.767737
15.238362,1.563538,1.791359
15.602436,1.564017,1.793053
15.950686,1.563849,1.794954
16.316970,1.563521,1.796791
16.686111,1.563083,1.798547
17.036855,1.562519,1.800641
17.388752,1.561617,1.800325
17.731472,1.560545,1.801316
18.114074,1.558659,1.802258
18.492898,1.556591,1.802828
18.839692,1.554592,1.803788
19.216568,1.550392,1.805338
19.601146,1.549532,1.805379
19.938976,1.547023,1.805984
20.336604,1.543599,1.807892
20.695931,1.540926,1.808487
21.075503,1.538088,1.808777
21.493872,1.535055,1.808974
21.876267,1.532730,1.808282
22.265542,1.528886,1.807862
22.662928,1.524624,1.806459
23.011534,1.522108,1.805547
23.423956,1.519273,1.803993
23.813514,1.514720,1.801861
24.194139,1.512083,1.799274
24.596114,1.508264,1.797280
25.030509,1.504339,1.794724
25.425602,1.501402,1.791473
25.817422,1.500376,1.786349
26.211708,1.581785,1.723512
26.680069,1.883641,1.481792
27.078891,1.938821,1.437367
27.485883,1.938654,1.435532
27.892760,1.939686,1.433692
28.296684,1.941228,1.430607
28.736834,1.940830,1.432618
29.173932,1.939980,1.434163
29.605658,1.940215,1.432144
30.023595,1.940682,1.430573
30.437385,1.940840,1.429303
30.868491,1.941968,1.427838
31.282702,1.942807,1.425706
31.727032,2.010323,1.462376
32.172490,2.348976,1.648188
32.612892,2.434405,1.695944
33.030077,2.437869,1.695913
33.473425,2.438929,1.695809
33.927791,2.436417,1.696930
34.375788,2.702254,1.844099
34.833757,2.922805,1.965844
35.315808,2.927977,1.966244
35.716872,2.931879,1.965922
36.134502,2.926459,1.967624
36.600715,2.926454,1.967521
37.076998,2.931713,1.966805
37.527610,2.926658,1.968756
37.990438,3.048930,2.040534
38.392829,3.351532,2.211786
38.874139,3.406091,2.242818
39.339745,3.403097,2.245891
39.803241,3.631315,2.321767
40.271728,3.914669,2.420739
40.723872,3.927063,2.424304
41.210428,3.931537,2.422361
41.669504,4.133040,2.524963
42.099040,4.381975,2.649706
42.590852,4.402639,2.660425
43.072035,4.406389,2.663040
43.513229,4.746943,2.755295
43.976479,4.933614,2.805682
44.432079,4.935047,2.804390
44.920032,4.935860,2.803355
45.394458,4.931511,2.806899
45.831770,5.078250,2.848666
46.342149,5.070188,2.842758
46.872254,5.074566,2.842928
47.331809,5.068893,2.845064
47.799002,4.973286,2.814749
48.286380,4.922986,2.800658
48.789758,4.926912,2.798202
49.274908,5.064890,2.880383
49.765244,5.061511,2.877452
50.277036,4.928860,2.794854
50.786353,4.936631,2.795805
51.306401,4.935969,2.795891
51.819637,4.970068,2.819327
52.368215,5.074297,2.880895
52.880789,4.940041,2.797480
53.393743,4.948076,2.797519
53.910681,4.953375,2.799110
54.455643,4.982919,2.831563
55.014104,5.078748,2.956346
55.527990,4.973973,2.822150
56.055992,4.978461,2.828611
56.581015,4.980102,2.828481
57.093020,4.981981,2.828527
57.617449,5.001167,2.849124
58.166648,5.073050,2.917697
58.722791,5.010673,2.860097
59.274937,5.020149,2.867875
59.825884,5.023377,2.868471
60.359400,5.022054,2.870827
60.917750,5.036417,2.888125
61.431697,5.041378,2.890200
62.068613,5.041806,2.892189
62.630674,5.095360,2.949884
63.209373,5.045723,2.896488
63.758929,5.050562,2.897267
64.295357,5.045671,2.897836
64.853183,5.056920,2.910519
65.411429,5.058457,2.914462
65.977632,5.068085,2.922906
66.557480,5.083824,2.933886
67.159664,5.071153,2.930954
67.768673,5.072185,2.929892
68.371258,5.079169,2.931115
68.967854,5.082354,2.930970
69.530704,5.083661,2.935423
70.134089,5.080806,2.935551
70.723370,5.082608,2.927238
71.332299,5.081440,2.929340
71.889602,5.083789,2.932339
72.492156,5.090407,2.934293
73.123420,5.090895,2.940196
73.731762,5.098251,2.939747
74.342917,5.108667,2.960008
74.963944,5.077910,3.457416
75.617153,5.073399,3.502414
76.214771,5.069206,3.499207
76.835128,5.048557,3.339251
77.481009,5.042296,3.335348
78.086729,5.039721,3.334165
78.682935,5.032145,3.317392
79.273342,5.077123,3.401284
79.914232,5.019698,3.307892
80.519674,5.015942,3.310670
81.138141,5.009529,3.305432
81.780460,5.012676,3.305678
82.390281,5.011988,3.306595
83.027944,5.012180,3.306153
83.624607,5.076180,3.409703
84.245469,5.037763,3.343633
84.869303,5.041951,3.345536
85.491198,5.048313,3.361131
86.137343,5.035141,3.338629
86.772994,5.032975,3.342936
87.415674,5.045615,3.357272
88.074082,5.047070,3.362019
88.712755,5.068269,3.378753
89.332778,5.053417,3.365073
89.986089,5.050737,3.367333
90.599712,5.052960,3.365657
91.237218,5.053078,3.366964
91.828034,5.065090,3.375715
92.491265,5.070201,3.374487
93.133066,5.081180,3.376220
93.799567,5.081871,3.380120
