Timestamp,X_Position_Feet,Y_Position_Feet
0.000000,0.439622,-0.767900
0.204809,0.439622,-0.767900
0.522768,0.439622,-0.767900
0.808252,0.439622,-0.767900
1.112051,0.439622,-0.767900
1.408389,0.439622,-0.767900
1.730348,0.439622,-0.767900
2.012022,0.440293,-0.767639
2.269448,0.441714,-0.766346
2.551626,0.442379,-0.764238
2.836536,0.442862,-0.762625
3.149078,0.445512,-0.760792
3.435659,0.447242,-0.759225
3.731922,0.449092,-0.757836
4.028126,0.451622,-0.756497
4.301391,0.445429,-0.902879
4.601457,0.433512,-1.200485
4.890077,0.429493,-1.320809
5.173649,0.428532,-1.336024
5.464648,0.428846,-1.336241
5.766458,0.430725,-1.335711
6.058955,0.402874,-1.438866
6.345109,0.371002,-1.577250
6.644422,0.376408,-1.554190
6.932353,0.412249,-1.415480
7.268130,0.433607,-1.331026
7.542106,0.431045,-1.341578
7.839652,0.429016,-1.342093
8.187833,0.426930,-1.344760
8.470120,0.429089,-1.343644
8.790558,0.430959,-1.346059
9.095108,0.385202,-1.523143
9.436289,0.372778,-1.578036
9.755332,0.407155,-1.441559
10.107382,0.423483,-1.377514
10.443655,0.383281,-1.533709
10.771145,0.373628,-1.580851
11.092751,0.403551,-1.466706
11.440483,0.426353,-1.375616
11.756815,0.428016,-1.378250
12.121167,0.428826,-1.381794
12.471937,0.425533,-1.386263
12.794437,0.422438,-1.387844
13.130685,0.425221,-1.388477
13.496378,0.418481,-1.405494
13.826656,0.315871,-1.614211
14.207268,0.339381,-1.568816
14.553776,0.402323,-1.437052
14.916338,0.372675,-1.494050
15.289342,0.294561,-1.627082
15.667786,0.338717,-1.551577
16.024281,0.372291,-1.490971
16.372103,0.366147,-1.499089
16.739880,0.362106,-1.500409
17.116107,0.312163,-1.619692
17.469380,0.337363,-1.573846
17.806884,0.335437,-1.575364
18.198330,0.331062,-1.575953
18.555780,0.334141,-1.577188
18.922413,0.335672,-1.581583
19.306349,0.329924,-1.587585
19.675069,0.326940,-1.588239
20.024828,0.331125,-1.588325
20.426006,0.330429,-1.599014
20.798805,0.326151,-1.600258
21.172993,0.315193,-1.623849
21.550847,0.344978,-1.538752
21.939984,0.341504,-1.541162
22.301293,0.338434,-1.543624
22.699997,0.343006,-1.543223
23.049364,0.342270,-1.551821
23.449478,0.336907,-1.552891
23.832926,0.325729,-1.616888
24.232826,0.338977,-1.557905
24.647076,0.340871,-1.559863
25.077262,0.340985,-1.569169
25.478217,0.337239,-1.568941
25.892842,0.329021,-1.605012
26.311649,0.337833,-1.576493
26.708520,0.339257,-1.576858
27.125361,0.341951,-1.581164
27.530372,0.336466,-1.587443
27.949311,0.325710,-1.621930
28.374728,0.323955,-1.626509
28.793490,0.331169,-1.604009
29.240983,0.325453,-1.621176
29.659992,0.335988,-1.622130
30.073318,0.336408,-1.622960
30.520603,0.341790,-1.625188
30.921760,0.345316,-1.625572
31.339838,0.341583,-1.624443
